Country,Continent,GDP_per_capita,life_expectancy,Population
Kazakhstan,Asia,5366,63.513000000000005,14956694
Kenya,Africa,1318,52.864,31253701
Kiribati,Oceania,3501,64.642,84010
"Korea, Dem. Rep.",Asia,1689,65.271,22894095
"Korea, Rep.",Asia,16995,76.11399999999999,45987624
Kuwait,Asia,36397,73.133,1940786
Kyrgyzstan,Asia,1527,66.232,4954850
Laos,Asia,1518,61.68899999999999,5317060
Latvia,Europe,8649,70.16,2384972
Lebanon,Asia,5795,74.40899999999999,3742329
Lesotho,Africa,1186,47.265,1963878
Liberia,Africa,519,52.424,2847290
Libya,Africa,9139,71.872,5231189
Lithuania,Europe,9631,72.18,3500028
Luxembourg,Europe,63924,77.82,435491
"Macao, China",Asia,22512,77.627,431867
"Macedonia, FYR",Europe,6975,73.244,2009091
Madagascar,Africa,1027,58.485,15364272
Malawi,Africa,713,46.04,11228756
Malaysia,Asia,10161,72.81,23414909
Maldives,Asia,3433,69.279,273236
Mali,Africa,854,49.06100000000001,11295324
Malta,Europe,20276,77.36399999999999,397420
Mauritania,Africa,1540,59.729,2642743
Mauritius,Africa,8290,71.202,1196027
Mexico,N. America,10894,74.38,99959594
"Micronesia, Fed. Sts.",Oceania,5530,67.3,107103
Moldova,Europe,1692,67.007,4106736
Mongolia,Asia,2017,62.876000000000005,2411369
Montenegro,Europe,6185,74.125,632606
Morocco,Africa,3073,68.22,28793236
Mozambique,Africa,542,47.472,18200656
Myanmar,Asia,1034,62.073,44957660
Namibia,Africa,4022,55.173,1895839
Nepal,Asia,1054,62.055,24400606
Netherlands,Europe,33000,78.24,15862825
New Zealand,Oceania,21895,78.9,3858032
Nicaragua,N. America,2490,69.682,5073704
Niger,Africa,577,50.692,10922421
Nigeria,Africa,1619,46.629,123688536
Norway,Europe,43174,78.76,4490859
Oman,Asia,19204,72.139,2264163
Pakistan,Asia,2086,63.854,144522192
Panama,N. America,7405,75.094,2956126
Papua New Guinea,Oceania,1821,58.748999999999995,5378824
Paraguay,S. America,3907,70.07300000000001,5343539
Peru,S. America,5791,70.506,25861887
Philippines,Asia,2598,66.774,77309965
Poland,Europe,11680,73.91,38302444
Portugal,Europe,19609,76.84,10336209
Qatar,Asia,60394,76.68,590957
Romania,Europe,7089,70.47,22191683
Russia,Asia,8570,65.38,146757517
Rwanda,Africa,704,47.6425,8098344
Saint Lucia,N. America,8676,71.456,157108
Saint Vincent and the Grenadines,N. America,5893,70.6,107891
Samoa,Oceania,4090,69.344,176549
Sao Tome and Principe,Africa,1320,63.336000000000006,141010
Saudi Arabia,Asia,20001,72.40100000000001,20045276
Senegal,Africa,1511,57.817,9505862
Serbia,Europe,6607,72.072,10133561
Seychelles,Africa,15230,71.771,78685
Sierra Leone,Africa,517,38.123000000000005,4143115
Singapore,Asia,36834,78.34,3919300
Slovak Republic,Europe,12689,73.19,5404845
Slovenia,Europe,19399,76.11,1985406
Solomon Islands,Oceania,1802,62.808,408732
Somalia,Africa,881,50.902,7399033
South Africa,Africa,7454,55.891999999999996,44760380
South Sudan,Africa,1883,49.248000000000005,6994624
Spain,Europe,23410,79.34,40288457
Sri Lanka,Asia,2997,71.078,18745084
Sudan,Africa,1874,57.979,27193105
Suriname,S. America,5677,67.851,466846
Swaziland,Africa,4021,48.68899999999999,1063832
Sweden,Europe,28640,79.84,8860153
Switzerland,Europe,34386,79.99,7167908
Syria,Asia,3935,73.316,15988534
Taiwan,Asia,23525,76.02,22183000
Tajikistan,Asia,1001,63.57,6172807
Tanzania,Africa,826,50.01,34038161
Thailand,Asia,5578,70.921,63155029
Timor-Leste,Asia,2743,59.468,830089
Togo,Africa,890,53.585,4793504
Tonga,Oceania,4886,70.81,97935
Trinidad and Tobago,N. America,10496,68.533,1292058
Tunisia,Africa,5480,73.15899999999999,9456117
Turkey,Asia,6803,70.01,63627862
Turkmenistan,Asia,3289,63.925,4501419
Uganda,Africa,881,48.126000000000005,24213120
Ukraine,Europe,3700,67.79,48891792
United Arab Emirates,Asia,30012,74.163,3033491
United Kingdom,Europe,28644,78.04,58874117
United States,N. America,39758,76.8,282496310
Uruguay,S. America,9092,74.777,3319066
Uzbekistan,Asia,1635,66.999,24775610
Vanuatu,Oceania,3762,67.438,185074
Venezuela,S. America,9434,72.432,24348304
Vietnam,Asia,1577,73.777,78758010
West Bank and Gaza,Asia,7586,70.929,3198560
"Yemen, Rep.",Asia,2217,60.403999999999996,17723186
Zambia,Africa,1035,41.802,10201562
Zimbabwe,Africa,745,43.976000000000006,12509477
